id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1891.296,"あくせる",R,27,83,135,1.163,-0.08,0.334,1.481,0.376,1.433,-36.443,24.059,0,100,0,0,"",86.038,-148.721,10.287,0,0,0,"-라후이-","Ainy4／あいにゃ","Slaris","Kenomo","Floră","ディシジョン","즉석카레","낑깡__","아침땅_",0,R,"-라후이-",190,85.586,0.496,,88,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,-37.302,0.032,-17.193,-22.382,-51.621,-13.432,-60.788,21.455,-51.986,10.663,-64.305,43.478,-91.12,-1.298,-117.497,-50.501,-95.175,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1908.097,"あくせる",R,13,83,107,-2.468,-1.263,0.136,1.363,-0.364,1.251,-36.443,20.015,40,60,0,1,"",-379.786,312.348,-16.273,0,0,0,"=","=","=","=","=","=","=","=","=",0,R,"-라후이-",190,85.586,0.496,,88,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-37.499,-0.039,-17.178,-22.311,-51.297,-13.224,-60.955,21.581,-51.525,11.122,-64.379,42.769,-91.15,-1.468,-117.419,-51.104,-95.097,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1924.129,"あくせる",R,27,90,140,2.451,0.283,0.445,1.556,0.892,1.677,-36.443,22.555,0,100,0,4,"",122.166,-134.574,20.498,0,0,0,"=","=","=","=","=","=","=","=","=",0,R,"-라후이-",190,85.586,0.496,,88,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,-37.362,0.019,-17.284,-22.343,-51.327,-13.339,-60.906,21.609,-51.501,11.177,-64.437,42.783,-91.209,-1.324,-117.472,-51.054,-95.081,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1942.38,"あくせる",R,10,94,128,1.252,-1.189,0.368,1.433,0.534,1.278,-36.443,21.02,53,47,0,2,"",0,400,25.013,0,0,0,"=","=","=","=","=","=","=","=","=",0,R,"-라후이-",190,85.586,0.496,3,88,W,Y,1,1943.25,135,126,174,63,59,,141,130,-30,-39.062,0.225,0.479,-19.715,0.56,0,0.227,2.537,-511.952,224.673,1942.243,0.917,-20.564,1946.224,6,51.793,0.056,-77.678,1,0,,1949.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,-38.179,0.013,-17.23,-22.276,-50.938,-12.626,-61.23,21.319,-51.836,10.974,-64.46,45.17,-93.033,-2.402,-115.731,-54.179,-95.808,-0.041,-36.641,,"kneesohime",0.047,-17.334,,"にゃんこ65K",-22.027,-50.901,,"vovopo 보보포",-12.59,-61.233,85,"Parottey",21.252,-51.502,,"CoalCat",10.953,-64.5,,"Roscosmos",44.789,-92.851,113,"「yune」",-2.395,-115.727,,"Espressο",-52.827,-94.226,,1954.17,-0.059,-38.927,,,,,,,1950.293,0.634,-59.7,,,,,,,1947.249,53.03,-78.906,,,,,,,,,,,,,,,,1953.139,-3.169,-55.549,,,,,,,1948.266,45.964,-76.811,,,,,,,"",2,,,,,,,,,,,,,0,"Roscosmos",,,,384,""
5,,1,1,0,0,0,0,0,1,0,0,0,255,255,4,1972.724,"あくせる",R,26,83,135,-2.231,-0.373,0.035,1.466,-1.017,1.382,-36.443,13.045,0,100,0,3,"",107.365,-150.887,18.608,0,0,1,"=","=","=","=","=","=","=","=","=",1,L,"Ainy4／あいにゃ",189.2,85,0.512,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.049,-37.324,0.081,-17.359,-20.056,-41.193,-10.872,-60.453,22.696,-47.912,12.524,-63.479,46.265,-87.042,5.512,-114.087,-44.493,-100.374,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1998.706,0.284,-38.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",6,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,0,0,0,1,1,0,1,0,255,5,2003.993,"あくせる",R,26,82,133,1.324,0.792,0.358,1.647,0.484,1.969,-36.443,23.289,0,100,0,0,"",66.593,-156.551,14.014,0,0,2,"=","=","=","=","=","=","=","=","=",4,R,"Slaris",190,85.704,0.452,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2017.576,,,,,,,,,,,,,,,,,,,,,,,,,0.031,-37.336,0.022,-17.243,-20.866,-47.04,-13.789,-60.54,19.618,-46.516,8.634,-62.321,41.605,-89.96,-5.317,-112.96,-50.521,-98.221,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2008.674,-0.04,-36.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",2007.505,,,0,""
7,,1,1,0,0,0,1,0,1,1,0,1,0,255,6,2023.589,"あくせる",R,10,93,128,-0.12,-0.952,0.226,1.368,-0.127,1.066,-36.443,18.452,11,89,0,2,"",0,400,6.299,0,0,2,"=","=","=","=","=","=","=","=","=",4,R,"Slaris",190,85.704,0.452,3,76,W,Y,1,2024.468,165,79,144,98,53,,145,130,-23.746,3.639,-0.064,0.335,-20.632,0.45,0,0.15,-577.535,-106.34,92.786,2023.382,-0.11,-21.364,2027.394,7,-6.821,0.055,-99.8,1,0,,2030.158,,,,2029.304,,,2029.611,,,2023.73,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-37.235,0.021,-17.562,-20.689,-46.672,-13.798,-60.548,20.195,-45.719,7.745,-62.125,41.179,-89.342,-6.852,-112.17,-50.484,-98.248,0.005,-36.79,,"kneesohime",-0.067,-17.675,,"にゃんこ65K",-20.544,-46.741,,"vovopo 보보포",-13.551,-59.798,,"Parottey",20.141,-45.708,,"CoalCat",8.704,-62.204,102,"Roscosmos",41.05,-89.7,,"「yune」",-7.162,-112.15,113,"Espressο",-50.495,-98.241,,2033.089,0.704,-37.411,,,,,,,,,,,,,2031.244,-0.107,-60.155,,,,2028.38,-6.798,-101.369,,,,,,,,,,,,,,,,,,,2032.191,0.524,-54.183,,,,2029.643,-6.06,-93.672,,,,"",2,,,,,,,,,,,,,0,"「yune」",2029.304,2029.611,,96,""
8,,1,1,0,0,0,0,0,1,1,1,4,1,0,7,2105.482,"あくせる",R,27,86,140,1.807,0.02,0.397,1.512,0.667,1.526,-36.443,24.002,0,100,0,1,"",93.714,-105.665,10.791,0,0,3,"=","=","=","=","=","=","=","=","=",8,R,"Kenomo",179.7,80,0.449,,89,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2119.784,,2126.611,,,,,,,,,,,,,,,,,,,,,,,,0.059,-37.279,0.096,-17.058,-19.659,-47.37,-9.995,-56.355,20.112,-45.964,8.133,-55.565,43.606,-85.404,-13.318,-111.182,-47.412,-93.606,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2110.264,-0.099,-37.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",2107.988,2107.545,,0,""
9,,1,1,0,0,1,0,0,1,1,1,4,1,0,8,2126.668,"あくせる",R,13,76,114,-0.031,-0.85,0.393,1.507,0.65,1.511,-36.443,25.945,23,77,0,0,"",-390.434,312.348,-23.219,0,0,3,"=","=","=","=","=","=","=","=","=",8,R,"Kenomo",179.7,80,0.449,,89,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2140.872,2126.719,,,,,,,,,,,,,,,,,,,,,,,,,0.104,-37.501,0.083,-17.002,-19.578,-47.095,-9.989,-56.355,20.471,-46.576,8.134,-55.58,43.607,-85.414,-12.746,-110.707,-48.779,-95.202,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2131.619,-0.078,-36.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",2129.441,2129.231,,0,""
10,,1,1,0,0,1,1,0,1,1,1,4,1,0,9,2146.884,"あくせる",R,11,91,134,-1.845,-1.692,0.08,1.303,-0.806,0.811,-36.443,17.245,40,60,0,2,"",0,197.687,14.548,0,0,3,"=","=","=","=","=","=","=","=","=",8,R,"Kenomo",179.7,80,0.449,3,89,W,Y,1,2147.951,178,54,67,74,0,,140,95,-26.547,-4.848,-0.351,0.354,-20.077,0.96,0,0.202,-187.368,-126.897,-18.656,2146.873,-0.3,-20.666,2147.873,0,0.937,1.367,-35.169,0,0,,2153.378,,,,2152.154,,,2152.707,,2153.74,,,2147.295,2151.499,0,3,194,0,2152.909,3,,147,4,,,,,,,,,,,,2150.916,1,-0.034,-37.306,-0.002,-17.114,-19.759,-46.83,-9.998,-56.364,20.441,-45.94,8.124,-55.62,41.348,-90.84,-11.938,-110.507,-48.891,-95.211,-0.062,-36.724,119,"kneesohime",-0.116,-17.384,130,"にゃんこ65K",-19.92,-46.688,81,"vovopo 보보포",-9.961,-56.267,,"Parottey",20.172,-45.8,,"CoalCat",8.115,-55.567,,"Roscosmos",41.338,-90.813,,"「yune」",-11.947,-110.498,,"Espressο",-48.818,-95.198,,2148.982,1.053,-35.625,2150.513,0.236,-20.803,2152.404,-18.874,-39.001,,,,,,,,,,,,,,,,,,,2149.836,0.908,-34.256,2151.509,-2.283,-23.304,2158.351,-17.356,-40.346,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"あくせる",2152.154,2152.707,2153.74,6,""
11,,1,1,0,0,0,0,2,0,1,1,255,4,1,10,2180.612,"あくせる",R,13,77,115,-2.801,-0.888,0.109,1.47,-0.671,1.397,-36.443,19.984,0,100,0,1,"",-377.953,327.34,-18.12,0,0,4,"=","=","=","=","=","=","=","=","=",2,R,"Floră",190,85,0.404,,74,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2192.031,,,,,,,,,,,,,,,,,,,,,,,,,-0.038,-37.431,-0.068,-17.12,-21.464,-48.983,-12.347,-59.814,19.615,-43.729,10.256,-63.171,39.991,-88.158,-13.949,-112.818,-53.462,-95.677,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2185.455,-0.492,-37.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",2183.475,2183.47,,0,""
12,,1,1,0,0,1,0,2,0,1,1,255,4,1,11,2196.917,"あくせる",R,26,94,140,-1.116,-0.742,0.107,1.346,-0.681,0.995,-36.443,20.67,0,100,0,0,"",143.499,-184.395,14.995,0,0,4,"=","=","=","=","=","=","=","=","=",2,R,"Floră",190,85,0.404,,74,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2210.539,2196.97,,,,,,,,,,,,,,,,,,,,,,,,-0.004,-37.408,0.014,-17.042,-21.011,-49.326,-12.301,-59.839,18.921,-40.941,9.856,-62.736,41.358,-88.204,-6.588,-113.133,-58.913,-94.339,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2201.525,-0.392,-37.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",2199.724,2199.453,,0,""
13,,1,1,0,0,1,1,2,0,1,1,255,4,1,12,2218.379,"あくせる",R,32,84,136,1.278,0.582,0.323,1.611,0.325,1.855,-36.443,18.122,0,100,0,0,"",161.731,-140.657,21.073,0,0,4,"=","=","=","=","=","=","=","=","=",2,R,"Floră",190,85,0.404,,74,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2231.215,2218.441,,,,,,,,,,,,,,,,,,,,,,,,0.086,-37.537,0.032,-17.065,-21.349,-48.922,-12.298,-59.873,19.317,-44.074,11.307,-62.05,41.027,-88.949,-6.538,-113.116,-57.743,-95.525,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2222.825,-0.215,-37.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",2221.04,2220.492,,0,""
14,,1,1,0,0,1,2,2,0,1,1,255,4,1,13,2239.664,"あくせる",R,32,95,140,-0.594,-0.456,0.142,1.401,-0.517,1.175,-36.443,20.663,0,100,0,0,"",190.992,-183.436,14.033,0,0,4,"=","=","=","=","=","=","=","=","=",2,R,"Floră",190,85,0.404,,74,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2243.29,2239.67,2242.084,4,,578,0,,,,,,,,,,,,,,,,,,,-0.015,-37.425,-0.053,-17.179,-21.028,-48.984,-12.298,-59.862,19.173,-47.249,10.45,-62.324,41.512,-89.339,-6.367,-113.235,-57.653,-95.64,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",2242.861,2241.841,,0,""
15,SIDE,1,1,0,0,0,0,2,0,1,1,255,4,1,,2243.88,,,,,,,,,,,,,,,,,,,,,,,,5,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
16,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2381.571,"-라후이-",R,13,71,110,0.295,-0.181,0.421,1.697,0.691,1.866,-36.439,17.863,100,0,0,0,"",-372.75,333.253,-2.33,0,0,0,"?fredo?","にゃんこ65K","kneesohime","Parottey","Espressο","CoalCat","「yune」","vovopo 보보포","Roscosmos",9,R,"?fredo?",190,83.536,0.353,,73,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182,-37.502,-0.012,-17.234,-20.139,-46.193,-12.869,-65.228,20.572,-47.503,12.846,-64.535,42.187,-94.318,-0.48,-111.714,-50.124,-97.615,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
17,,1,0,0,0,0,1,0,0,0,0,255,255,255,1,2399.679,"-라후이-",R,13,66,107,-1.312,-0.211,0.333,1.811,-0.055,2.02,-36.439,30.399,100,0,0,2,"",-275.539,400,-9.568,0,0,0,"=","=","=","=","=","=","=","=","=",9,R,"?fredo?",190,83.536,0.353,0,73,W,Y,1,2400.917,255,102,90,87,56,,145,92,-27.281,8.45,-0.323,0.865,-20.357,-1,0,0.21,-516.78,260.948,137.567,2399.903,-0.555,-21.909,2402.34,3,-8.406,0.083,-62.643,0,0,,,,,,,,,,,,,,,2405.872,0,,147,128,,,,,,,,,,,,,,,,,,,0.001,-37.473,-0.036,-17.264,-19.962,-45.951,-12.944,-65.218,20.632,-47.576,12.365,-64.614,42.154,-94.414,-0.53,-111.758,-51.843,-98.989,0.052,-36.943,,"Ainy4／あいにゃ",-0.092,-17.386,,"Floră",-19.901,-45.912,85,"낑깡__",-13.478,-67.021,98,"Slaris",20.373,-47.433,,"즉석카레",12.71,-66.162,,"ディシジョン",42.137,-94.409,,"아침땅_",-0.632,-111.514,,"Kenomo",-53.123,-100.881,,2409.612,-1.726,-39.77,,,,2405.316,-18.844,-41.422,2403.505,-8.756,-64.164,,,,,,,,,,,,,,,,,,,,,,2408.64,-17.822,-39.168,2404.214,-9.972,-61.105,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"낑깡__",,,,145,""
18,,1,0,0,0,0,0,1,0,0,0,255,255,255,2,2609.351,"-라후이-",R,13,70,110,-0.242,-0.142,0.382,1.709,0.436,1.908,-36.439,13.816,53,47,0,2,"",-358.572,348.463,-4.239,0,0,1,"=","=","=","=","=","=","=","=","=",2,R,"にゃんこ65K",190,91.072,0.646,0,71,W,Y,1,2610.491,187,129,124,61,51,,145,133,26.233,47.559,-0.048,0.96,-20.372,0.31,0,0.505,265.345,-136.736,118.534,2614.134,-87.255,-103.517,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197,-37.526,-0.054,-17.219,-16.661,-42.389,-12.974,-65.35,21.62,-49.682,9.01,-66.501,42.509,-99.208,-0.336,-115.725,-51.878,-99.065,0.136,-36.425,,"Ainy4／あいにゃ",-0.082,-17.315,,"Floră",-17.107,-42.663,,"낑깡__",-13.219,-66.137,,"Slaris",21.207,-49.647,,"즉석카레",9.213,-68.354,,"ディシジョン",42.511,-99.204,,"아침땅_",-0.414,-116.121,,"Kenomo",-51.067,-99.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
19,,1,0,0,0,0,1,1,0,0,0,255,255,255,3,2632.775,"-라후이-",R,26,69,121,2.255,0.565,0.517,1.815,0.699,1.76,-36.439,32.242,100,0,0,2,"",167.561,-200,8.548,0,0,1,"=","=","=","=","=","=","=","=","=",2,R,"にゃんこ65K",190,91.072,0.646,0,89,W,Y,0,2633.924,97,68,55,55,17,,129,90,-47.067,43.077,0.426,1.169,-19.381,-0.58,0,0.195,-178.211,-113.532,338.169,2632.8,-0.525,-20.401,2634.564,2,-16.297,2.18,-37.345,0,0,,,,,,,,,,,,,,,2637.164,1,,147,0,,,,,,,,,,,2636.646,2,,,,,,,0.194,-37.558,-0.032,-17.208,-16.851,-42.406,-13.154,-65.162,21.242,-49.061,10.239,-65.594,43.071,-97.695,-0.596,-115.453,-50.593,-99.519,0.362,-36.88,,"Ainy4／あいにゃ",0.048,-17.293,,"Floră",-16.928,-42.56,83,"낑깡__",-13.392,-65.956,,"Slaris",20.915,-49.446,,"즉석카레",11.272,-66.395,,"ディシジョン",43.085,-97.713,,"아침땅_",-0.506,-115.395,,"Kenomo",-49.486,-99.736,,2640.126,-1.997,-38.953,,,,2635.672,-16.999,-38.034,,,,,,,,,,,,,,,,,,,,,,,,,2639.12,-18.072,-39.111,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"Floră",,,,17,""
20,,1,0,0,0,0,0,2,0,0,0,255,255,255,4,2656.993,"-라후이-",R,14,85,123,-0.305,-0.688,0.064,1.431,-0.625,1.499,-36.439,10.151,70,30,0,0,"",365.678,340.998,18.875,0,0,2,"=","=","=","=","=","=","=","=","=",1,R,"kneesohime",190,84.513,0.501,,71,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.068,-37.471,-0.029,-17.22,-17.022,-42.591,-12.978,-65.192,20.876,-50.48,7.994,-67.143,43.713,-101.916,-0.542,-115.569,-53.273,-101.563,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2660.97,-0.306,-37.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
21,,1,0,0,0,0,1,2,0,0,0,255,255,255,5,2671.939,"-라후이-",R,13,62,105,-0.965,-0.201,0.376,1.791,0.23,1.967,-36.439,29.776,100,0,0,2,"",-343.044,347.629,-1.49,0,0,2,"=","=","=","=","=","=","=","=","=",1,R,"kneesohime",190,84.513,0.501,3,71,W,Y,1,2673.161,255,114,106,115,66,,145,87,-30,51.544,-0.148,1.003,-20.899,1,0,0.294,132.868,79.181,-468.395,2672.042,-2.168,-22.499,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,-37.661,-0.039,-17.209,-17.043,-42.614,-13.102,-65.215,21.048,-50.426,7.963,-66.289,43.362,-101.618,-0.784,-115.933,-53.356,-101.629,0.203,-37.14,,"Ainy4／あいにゃ",-0.126,-17.343,,"Floră",-17.113,-42.773,,"낑깡__",-13.526,-66.48,,"Slaris",20.758,-50.581,,"즉석카레",8.141,-67.558,,"ディシジョン",43.361,-101.62,,"아침땅_",-0.916,-115.9,,"Kenomo",-53.238,-101.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
22,,1,0,0,0,0,2,2,0,0,0,255,255,255,6,2690.139,"-라후이-",R,10,70,100,-0.999,-0.826,0.2,1.829,-0.44,1.683,-36.439,24.07,100,0,0,2,"",0,400,-0.127,0,0,2,"=","=","=","=","=","=","=","=","=",1,R,"kneesohime",190,84.513,0.501,3,86,W,Y,1,2691.368,255,176,187,108,68,,145,87,0.368,29.886,-0.169,0.812,-21.102,-1,0,0.443,187.804,-191.134,168.9,2690.8,-7.456,-34.021,2691.673,2,-12.188,0.059,-41.969,0,0,,,,,,,,,,,,,,,2695.007,2,,147,0,,,,,,,,,,,2694.487,2,,,,,,,0.073,-37.691,-0.051,-17.219,-16.616,-42.036,-13.001,-65.262,21.377,-49.951,9.123,-66.377,46.503,-100.427,-1.062,-115.991,-54.215,-100.802,0.088,-36.907,,"Ainy4／あいにゃ",-0.124,-17.342,,"Floră",-16.668,-42.111,,"낑깡__",-13.681,-66.307,,"Slaris",21.363,-49.897,,"즉석카레",9.411,-67.311,,"ディシジョン",45.961,-98.208,,"아침땅_",-1.283,-115.455,,"Kenomo",-52.386,-101.992,,,,,,,,2692.773,-12.712,-42.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"Floră",,,,16,""
23,SIDE,1,0,0,0,0,0,2,0,0,0,255,255,255,,2696.532,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
