id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1692.825,"encounter v",R,26,99,140,0.699,1.057,0.226,2.349,0.122,2.001,-36.681,50.433,72,28,0,0,0,129.069,-200,-6.341,0,0,0,0,7,R,"「yune」",174.8,80,0.28,0,153,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,-37.427,0,"DoYaGee",0.042,-17.436,0,"쟈가리코",-22.264,-46.557,0,"muyang_",-17.967,-64.177,0,"わだ、、",19.133,-46.163,0,"shimenawa",12.628,-65.447,0,"_송글_",39.744,-88.479,0,"ByeolBam",-2.526,-109.501,0,"ddil_ddil69",-39.445,-88.351,0,0,0,0,0,0,"",0,0,0,0,1693.2,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1709.244,"encounter v",R,13,75,113,-0.057,-0.871,0.336,2.219,0.632,1.546,-36.681,50.685,86,14,0,2,0,-369.471,336.884,-1.547,0,0,1,0,7,R,"「yune」",174.8,80,0.28,3,153,W,Y,1710.444,237,212,97,85,43,145,126,-16.178,6.874,0.63,0,0.364,-231.456,234.375,-281.067,0.094,-37.194,0,"DoYaGee",-0.053,-17.597,0,"쟈가리코",-21.785,-46.776,70,"muyang_",-17.021,-62.846,0,"わだ、、",18.263,-46.547,0,"shimenawa",11.731,-65.215,0,"_송글_",39.755,-88.468,0,"ByeolBam",-2.527,-109.483,103,"ddil_ddil69",-39.342,-88.392,0,1709.297,-0.235,-22.232,1712.644,7,"ByeolBam",-8.174,-98.424,1,0,,,,,44,2
3,1,1,0,0,0,0,0,1,0,0,7,255,255,2,1738.4,"encounter v",R,26,94,140,1.585,1.531,0.309,2.426,0.505,2.27,-36.681,65.282,77,23,0,1,0,148.079,-200,-5.736,0,0,0,1,5,R,"CoalCat",175.4,82.838,0.435,0,152,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.189,0,"DoYaGee",-0.694,-18.248,0,"쟈가리코",-21.233,-43.201,0,"muyang_",-12.068,-56.845,0,"わだ、、",18.54,-43.98,0,"shimenawa",7.495,-64.532,0,"_송글_",42.516,-92.424,0,"ByeolBam",-3.939,-114.055,0,"ddil_ddil69",-43.634,-92.852,0,0,0,0,0,0,"",0,0,0,0,1738.665,,,,0,0
4,1,1,0,0,1,0,0,1,0,0,7,255,255,3,1752.443,"encounter v",R,26,97,140,1.574,1.241,0.302,2.378,0.474,2.102,-36.681,56.009,67,33,0,2,0,148.198,-200,-2.785,0,0,1,1,5,R,"CoalCat",175.4,82.838,0.435,3,152,W,Y,1753.511,229,68,103,75,38,145,91,98.808,-14.588,-0.53,0,0.357,214.259,-39.091,-31.162,0.246,-37.04,0,"DoYaGee",-0.042,-17.5,0,"쟈가리코",-20.674,-46.389,0,"muyang_",-14.789,-58.28,0,"わだ、、",17.731,-44.945,0,"shimenawa",8.627,-64.945,0,"_송글_",42.517,-92.424,0,"ByeolBam",-3.958,-114.934,0,"ddil_ddil69",-43.532,-93.062,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
5,1,1,0,0,1,1,0,1,0,0,7,255,255,4,1779.068,"encounter v",R,10,91,128,0.492,1.694,0.262,2.438,0.29,3.016,-36.681,70.68,81,19,0,2,1,-55.308,400,-23.404,0,0,1,1,5,R,"CoalCat",175.4,82.838,0.435,3,39,W,Y,1780.198,147,38,74,49,15,138,114,95.936,-84.031,0.21,0,0.401,-25.102,585.126,-39.742,0.211,-37.109,0,"DoYaGee",-0.043,-17.438,0,"쟈가리코",-20.532,-46.093,0,"muyang_",-14.218,-59.107,0,"わだ、、",17.511,-45.268,0,"shimenawa",10.662,-66.148,0,"_송글_",42.262,-91.177,0,"ByeolBam",-1.799,-109.466,0,"ddil_ddil69",-43.313,-92.269,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
6,1,1,0,0,1,2,0,0,1,0,255,7,255,5,1830.047,"encounter v",R,26,92,140,1.33,1.027,0.268,2.343,0.318,1.979,-36.681,54.524,79,21,0,2,0,184.716,-200,-14.438,0,0,1,1,5,R,"CoalCat",175.4,82.838,0.435,3,39,W,Y,1831.113,255,54,164,87,18,145,84,27.57,-24.143,-0.89,0,0.393,352.973,-420.819,67.991,0.163,-37.098,0,"DoYaGee",0.021,-17.431,0,"쟈가리코",-20.741,-45.591,0,"muyang_",-15.563,-58.936,71,"わだ、、",17.908,-45.989,0,"shimenawa",8.755,-66.323,0,"_송글_",42.024,-89.639,101,"ByeolBam",-1.463,-110.787,0,"ddil_ddil69",-43.016,-93.026,0,0,0,0,1834.908,6,"_송글_",34.478,-80.919,0,0,,1836.703,,,304,1
7,1,1,0,0,0,0,1,0,1,0,255,7,255,6,1862.101,"encounter v",R,26,94,140,7.546,-1.087,0.257,1.779,3.2,0.737,-36.681,26.227,47,53,0,1,0,67.969,-200,-2.748,1.819,-14.847,0,2,0,R,"あくせる",190,89.801,0.5,0,149,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,-35.985,0,"DoYaGee",1.989,-16.803,0,"쟈가리코",-21.792,-44.901,0,"muyang_",-16.703,-62.459,0,"わだ、、",19.805,-45.132,0,"shimenawa",6.126,-64.99,0,"_송글_",42.794,-91.779,0,"ByeolBam",-1.13,-109.058,0,"ddil_ddil69",-46.955,-96.689,0,0,0,0,0,0,"",0,0,0,0,1864.929,,1868.114,,0,0
8,1,1,0,0,1,0,1,0,0,1,255,255,7,7,1888.782,"encounter v",R,26,91,140,1.507,1.351,0.29,2.435,0.419,2.254,-36.681,66.549,75,25,0,4,0,167.537,-200,-17.16,0,0,1,2,0,R,"あくせる",190,89.801,0.5,0,149,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,-37.314,0,"DoYaGee",0.093,-17.391,0,"쟈가리코",-21.359,-44.754,0,"muyang_",-16.447,-62.632,0,"わだ、、",17.894,-41.479,0,"shimenawa",12.303,-64.959,0,"_송글_",40.721,-84.404,0,"ByeolBam",-1.281,-108.264,0,"ddil_ddil69",-46.311,-97.04,0,0,0,0,0,0,"",0,0,0,0,1888.922,,1891.795,,0,0
9,1,1,0,0,1,1,1,0,0,1,255,255,7,8,1904.917,"encounter v",R,26,93,140,0.556,0.808,0.201,2.33,0.005,1.915,-36.681,45.607,79,21,0,0,0,169.168,-200,-7.112,0,0,1,2,0,R,"あくせる",190,89.801,0.5,0,149,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,-37.244,0,"DoYaGee",0.046,-17.36,0,"쟈가리코",-21.516,-46.195,0,"muyang_",-17.14,-63.029,0,"わだ、、",18.099,-41.305,0,"shimenawa",7.043,-67.298,0,"_송글_",38.851,-87.682,0,"ByeolBam",-0.206,-109.116,0,"ddil_ddil69",-46.462,-97.293,0,0,0,0,0,0,"",0,0,0,0,1904.999,,1908.004,,0,0
10,1,1,0,0,1,2,1,0,0,1,255,255,7,9,1925.793,"encounter v",R,32,100,140,1.401,1.836,0.256,2.431,0.26,2.563,-36.681,58.301,68,32,0,4,0,250,-200,9.759,0,0,1,2,0,R,"あくせる",190,89.801,0.5,0,149,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,-37.185,0,"DoYaGee",0.084,-17.346,0,"쟈가리코",-20.838,-45.444,0,"muyang_",-16.785,-62.93,0,"わだ、、",18.302,-41.695,0,"shimenawa",8.573,-66.077,0,"_송글_",39.138,-87.477,0,"ByeolBam",-0.097,-109.284,0,"ddil_ddil69",-46.445,-97.319,0,0,0,0,0,0,"",0,0,0,0,1925.957,,1928.511,,0,0
11,1,1,0,0,0,0,2,0,0,1,255,255,7,10,1946.906,"encounter v",R,13,88,126,0.251,1.364,0.315,2.504,0.537,2.8,-36.681,70.083,77,23,0,1,0,-321.847,382.642,-17.061,0,0,0,3,2,R,"にゃんこ65K",190,91.072,0.596,0,147,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,-37.349,0,"DoYaGee",0.082,-17.411,0,"쟈가리코",-23.129,-48.488,0,"muyang_",-17.098,-63.746,0,"わだ、、",18.306,-42.36,0,"shimenawa",7.972,-65.936,0,"_송글_",40.576,-88.48,0,"ByeolBam",-0.67,-110.026,0,"ddil_ddil69",-47.059,-96.28,0,0,0,0,0,0,"",0,0,0,0,1947.137,,1949.786,,0,0
12,1,1,0,0,1,0,2,0,0,1,255,255,7,11,1962.734,"encounter v",R,26,95,140,1.793,0.816,0.317,2.333,0.545,1.921,-36.681,51.892,71,29,0,1,0,165.181,-200,-18.358,0,0,0,3,2,R,"にゃんこ65K",190,91.072,0.596,0,147,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,-37.226,0,"DoYaGee",0.062,-17.414,0,"쟈가리코",-22.691,-47.522,0,"muyang_",-17.427,-63.784,0,"わだ、、",18.004,-41.931,0,"shimenawa",7.378,-66.364,0,"_송글_",40.6,-88.461,0,"ByeolBam",-0.63,-109.942,0,"ddil_ddil69",-47.494,-96.339,0,0,0,0,0,0,"",0,0,0,0,1962.818,,1965.417,,0,0
13,1,1,0,0,2,0,2,0,0,1,255,255,7,12,1981.843,"encounter v",R,26,88,140,1.563,1.343,0.3,2.435,0.466,2.251,-36.681,72.973,74,26,0,1,0,150.184,-200,-19.242,0,0,0,3,2,R,"にゃんこ65K",190,91.072,0.596,0,147,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,-37.237,0,"DoYaGee",0.08,-17.378,0,"쟈가리코",-22.08,-47.154,0,"muyang_",-17.168,-63.15,0,"わだ、、",17.657,-41.69,0,"shimenawa",8.12,-65.918,0,"_송글_",40.553,-88.522,0,"ByeolBam",-2.138,-110.482,0,"ddil_ddil69",-47.446,-96.295,0,0,0,0,0,0,"",0,0,0,0,1981.936,,1984.316,,0,0
14,1,1,0,0,3,0,2,0,0,1,255,255,7,13,1999.033,"encounter v",R,26,95,140,0.864,0.921,0.322,2.353,0.103,1.987,-36.681,61.832,76,24,0,0,0,197.713,-200,-26.385,0,0,0,3,2,R,"にゃんこ65K",190,91.072,0.596,0,147,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,-37.276,0,"DoYaGee",0.034,-17.425,0,"쟈가리코",-22.537,-47.06,0,"muyang_",-17.021,-63.405,0,"わだ、、",18.103,-41.081,0,"shimenawa",7.171,-66.326,0,"_송글_",40.604,-88.466,0,"ByeolBam",-3.264,-112.217,0,"ddil_ddil69",-47.462,-96.335,0,0,0,0,0,0,"",0,0,0,0,1999.158,,2001.99,,0,0
15,1,1,0,0,3,1,2,0,0,1,255,255,7,14,2016.322,"encounter v",R,13,97,126,-0.15,0.035,0.415,2.34,0.535,1.945,-36.681,58.39,75,25,0,0,0,-390.434,312.348,-0.512,0,0,1,3,2,R,"にゃんこ65K",190,91.072,0.596,0,147,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-37.402,0,"DoYaGee",-0.001,-17.449,0,"쟈가리코",-22.193,-46.24,0,"muyang_",-17.75,-62.683,0,"わだ、、",17.544,-42.47,0,"shimenawa",7.101,-65.884,0,"_송글_",40.813,-89.015,0,"ByeolBam",-2.652,-112.404,0,"ddil_ddil69",-47.424,-96.323,0,0,0,0,0,0,"",0,0,0,0,2016.443,,2018.717,,0,0
16,1,1,0,0,3,2,2,0,0,1,255,255,7,15,2037.17,"encounter v",R,33,96,140,3.113,-0.181,0.456,2.172,1.191,1.403,-36.681,75.509,67,33,0,2,0,109.92,-78.514,-3.058,0,0,1,3,2,R,"にゃんこ65K",190,91.072,0.596,3,147,W,Y,2038.26,188,109,152,98,29,145,90,5.135,-3.083,-0.84,0,0.266,264.234,-172.594,-16.056,0.317,-36.826,0,"DoYaGee",0.184,-17.569,0,"쟈가리코",-22.023,-47.116,0,"muyang_",-16.709,-63.085,0,"わだ、、",16.665,-46.091,0,"shimenawa",13.446,-65.231,106,"_송글_",40.736,-89.043,0,"ByeolBam",-0.446,-109.815,0,"ddil_ddil69",-47.433,-96.367,0,2038.318,2.837,-52.411,2039.311,5,"shimenawa",4.145,-64.501,0,0,2071.415,,,2041.95,23,2
17,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2206.792,"あくせる",R,34,94,140,0.011,-0.745,0.235,1.392,-0.087,1.104,-36.443,13.855,0,100,0,0,0,81.329,-79.87,24.873,0,0,0,0,5,L,"shimenawa",175.4,94.778,0.295,0,142,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,-37.511,0,"kneesohime",0.043,-17.405,0,"にゃんこ65K",-22.026,-48.634,0,"vovopo 보보포",-11.589,-58.892,0,"Parottey",20.954,-46.562,0,"CoalCat",12.875,-62.292,0,"Roscosmos",45.61,-88.089,0,"「yune」",9.838,-112.592,0,"Metalu",-37.139,-93.299,0,0,0,0,0,0,"",0,0,0,0,2206.422,,,,0,0
18,1,0,0,0,0,1,0,0,0,0,255,255,255,1,2222.749,"あくせる",R,26,90,140,-1.33,0.955,0.106,1.653,-0.687,2.019,-36.443,10.969,13,87,0,2,0,79.223,-155.223,24.294,0,0,1,0,5,L,"shimenawa",175.4,94.778,0.295,3,142,W,Y,2223.839,120,76,89,37,5,137,82,54.867,-26.334,-0.77,0,0.217,-505.035,209.257,-114.013,-0.029,-36.433,0,"kneesohime",-0.161,-17.371,0,"にゃんこ65K",-20.882,-50.382,0,"vovopo 보보포",-11.722,-59.461,0,"Parottey",20.278,-46.546,0,"CoalCat",12.902,-61.708,85,"Roscosmos",45.893,-87.53,0,"「yune」",9.789,-112.593,0,"Metalu",-37.39,-92.577,0,2226.957,19.726,-67.534,2227.241,5,"CoalCat",19.116,-65.872,0,0,,,,,6,1
19,1,0,0,0,0,0,1,0,0,0,255,255,255,2,2247.651,"あくせる",R,32,89,140,1.487,0.064,0.349,1.506,0.446,1.515,-36.443,19.792,0,100,0,1,0,176.082,-165.463,22.539,0,0,0,1,4,L,"わだ、、",190,85,0.528,0,141,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231,-36.947,0,"kneesohime",0.064,-17.4,0,"にゃんこ65K",-21.692,-50.579,0,"vovopo 보보포",-11.535,-58.42,0,"Parottey",19.732,-45.979,0,"CoalCat",14.077,-60.594,0,"Roscosmos",47.502,-88.014,0,"「yune」",12.854,-112.734,0,"Metalu",-34.495,-93.872,0,0,0,0,0,0,"",0,0,0,0,2247.235,,,,0,0
20,1,0,0,0,0,1,1,0,0,0,255,255,255,3,2268.086,"あくせる",R,32,95,140,3.242,-0.285,0.49,1.43,1.101,1.268,-36.443,27.814,0,100,0,1,0,223.497,-200,13.867,0,0,0,1,4,L,"わだ、、",190,85,0.528,0,141,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,-37.303,0,"kneesohime",0.067,-17.367,0,"にゃんこ65K",-21.862,-49.582,0,"vovopo 보보포",-11.542,-58.426,0,"Parottey",20.731,-46.384,0,"CoalCat",14.028,-60.636,0,"Roscosmos",48.096,-86.311,0,"「yune」",12.632,-112.73,0,"Metalu",-35.393,-97.266,0,0,0,0,0,0,"",0,0,0,0,2267.575,,,,0,0
