id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1146.903,"하루（Haru）",R,26,91,140,-1.91,-1.387,0.109,1.491,-0.905,0.657,-36.44,16.209,47,53,0,2,"BA+|BA-",81.447,-200,37.012,0,0,0,"わかなで","ゆっち一","_Chun","MODECO","「론구」","Mr․D VRC","檸檬の残骸","TaeGeuk_","ke ro",3,L,"わかなで",160,94.246,0.2,3,50,W,Y,1,1147.998,166,113,106,101,37,,145,90,-49.132,44.072,-0.369,0.429,-19.751,-0.28,0,0.322,125.459,559.471,-176.784,1147.897,-0.666,-20.058,1150.214,2,-18.157,0.596,-39.388,0,0,,,,,,,,,,,,,,,1150.922,0,,147,0,,,,,,,,,,,1150.736,2,,,,,,,-0.122,-37.099,-0.062,-18.035,-19.693,-43.736,-9.67,-61.884,16.491,-41.537,10.465,-56.677,43.39,-82.979,7.096,-114.534,-40.799,-88.324,-0.217,-36.634,,"Megu3568",-0.228,-18.29,,"濃いめのラー油",-19.6,-43.728,74,"Fresh825",-9.749,-61.87,,"Muna_328",15.633,-40.307,,"schmoneymikey",10.352,-56.303,,"Dοpi",44.172,-82.796,,"うよすま",6.743,-114.547,,"Sabo_10",-40.718,-88.196,,1154.191,-4.143,-38.807,,,,1150.377,-19.051,-40.487,,,,,,,,,,,,,,,,,,,,,,,,,1153.498,-12.316,-37.835,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"濃いめのラー油",,,,48,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,1175.421,"하루（Haru）",R,32,86,139,2.108,0.153,0.459,1.725,0.725,1.567,-36.44,28.173,17,83,0,1,"",155.793,-139.395,7.896,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,,54,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-37.003,0.117,-17.986,-19.728,-44.215,-12.76,-65.294,25.148,-50.194,14.937,-61.698,53.397,-100.92,10.995,-125.637,-40.037,-103.796,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1179.684,-0.079,-36.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,0,1,0,0,0,255,255,255,2,1194.227,"하루（Haru）",R,0,70,122,2.245,0.517,0.511,1.824,0.967,1.904,-36.44,60.216,89,11,0,1,"",-2.652,0,0.635,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,,54,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.171,-36.947,-0.008,-17.867,-19.753,-45.136,-12.845,-65.364,25.117,-50.261,14.932,-61.672,53.414,-100.94,10.617,-124.913,-40.264,-106.976,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1198.293,0.103,-36.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,2,0,1,0,0,0,255,255,255,3,1211.051,"하루（Haru）",R,3,56,102,-0.556,-0.093,0.503,1.752,0.506,1.564,-36.44,66.464,0,100,0,2,"",-382.716,0,12.329,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,5,54,W,Y,1,1212.343,237,93,104,70,32,,145,114,25.455,-43.111,-0.152,0.879,-19.806,0.12,0,0.367,462.735,-292.185,245.977,1217.48,75.368,-89.989,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.146,-37.05,-0.03,-17.893,-19.771,-45.035,-12.859,-65.355,25.19,-50.23,14.749,-61.26,53.413,-100.326,4.261,-125.806,-40.21,-107.978,-0.08,-36.784,,"Megu3568",-0.011,-18.005,,"濃いめのラー油",-19.771,-44.982,,"Fresh825",-12.905,-65.339,,"Muna_328",25.17,-50.215,,"schmoneymikey",14.705,-61.138,,"Dοpi",53.169,-100.473,,"うよすま",3.635,-125.8,,"Sabo_10",-45.713,-103.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-38.764,-38.764,-16.147,0,2,0.252,80.069,30.678,-7.322,80.393,0.065,-69.167,0,"",,,,0,""
5,,1,1,0,0,2,1,1,0,0,0,255,255,255,4,1239.838,"하루（Haru）",R,10,36,91,-1.203,-0.929,0.185,1.788,-0.529,1.517,-36.44,63.422,100,0,0,2,"",0,263.791,-8.278,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,3,73,W,Y,1,1241.181,255,200,153,72,60,,145,117,27.005,-40.517,-0.23,0.604,-20.139,0.79,0,0.583,86.731,-383.088,-321.679,1245.497,71.567,-89.056,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.128,-37.021,-0.052,-17.989,-19.858,-45.441,-13.089,-65.179,24.855,-48.298,14.647,-60.93,56.87,-102.242,6.838,-125.779,-44.947,-105.256,0.108,-36.866,,"Megu3568",-0.113,-18.118,,"濃いめのラー油",-19.97,-45.28,,"Fresh825",-13.128,-65.152,,"Muna_328",24.841,-48.27,,"schmoneymikey",14.637,-60.903,,"Dοpi",56.833,-101.848,,"うよすま",6.947,-125.488,,"Sabo_10",-44.908,-105.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,2,2,1,0,0,0,255,255,255,5,1264.667,"하루（Haru）",R,26,68,107,3.059,0.1,0.655,1.667,1.09,1.465,-36.44,45.811,0,100,0,1,"",119.153,-183.14,5.277,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,,73,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,-36.914,0.243,-17.779,-20.154,-44.75,-12.773,-65.032,25.644,-49.211,14.933,-61.98,59.378,-100.486,7.861,-125.177,-43.845,-106.257,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,3,2,1,0,0,0,255,255,255,6,1282.803,"하루（Haru）",R,28,61,102,2.416,-0.163,0.606,1.761,0.938,1.451,-36.44,67.173,88,12,0,1,"",47.977,-56.377,1.637,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,,73,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1291.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032,-36.972,-0.041,-17.705,-20.614,-45.172,-12.742,-65.088,25.604,-49.315,15.052,-62.018,59.945,-99.004,10.807,-125.115,-38.159,-113.558,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",5,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,0,0,1,1,0,0,8,255,255,7,1319.306,"하루（Haru）",R,27,80,130,-1.501,0.093,0.15,1.813,-0.712,1.535,-36.44,26.501,93,7,0,1,"",42.586,-133.58,14.28,0,0,2,"=","=","=","=","=","=","=","=","=",0,L,"_Chun",190,80,0.455,,54,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,1336.481,,,,,,,,,,,,,,,,,,,,,,,,1321.193,1,-0.17,-36.965,-0.13,-17.831,-18.304,-39.102,-6.325,-64.932,25.681,-49.304,15.653,-62.135,57.292,-101.745,6.422,-125.218,-41.273,-95.527,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,1,0,1,1,0,0,8,255,255,8,1338.084,"하루（Haru）",R,27,73,125,-0.748,0.403,0.217,1.872,-0.401,1.724,-36.44,35.89,96,4,0,2,"",44.309,-132.518,5.089,0,0,2,"=","=","=","=","=","=","=","=","=",0,L,"_Chun",190,80,0.455,5,54,W,Y,1,1339.124,255,34,150,56,29,,145,100,-13.66,10.186,-0.146,1.145,-20.017,-0.49,0,0.457,178.446,-505.117,213.451,1339.13,-0.874,-24.222,1340.88,3,-6.736,0.054,-57.67,0,4,,1344.716,,,,1344.295,,,,,,,,,1342.949,1,1,164,0,1344.564,2,,147,8,,,,,,,,1342.402,3,,,,,-0.194,-36.993,-0.05,-18.108,-18.491,-39.934,-6.258,-64.956,25.659,-49.337,15.38,-62.272,58.047,-100.81,7.092,-125.826,-42.555,-98.425,-0.05,-36.786,,"Megu3568",-0.085,-18.163,,"濃いめのラー油",-18.817,-41.334,,"Fresh825",-6.19,-64.714,120,"Muna_328",25.648,-49.322,,"schmoneymikey",15.484,-62.145,,"Dοpi",57.452,-99.923,,"うよすま",7.224,-125.803,,"Sabo_10",-42.361,-98.548,,,,,,,,1344.024,-19.289,-39.987,1341.061,-6.695,-59.112,,,,,,,,,,,,,,,,,,,,,,,,,1343.013,-2.781,-55.943,,,,,,,,,,,,,,,,"",2,11.262,11.262,-21.217,0,0,1,-13.66,-13.66,-14.617,-13.66,0,62.375,0,"Fresh825",1344.295,,,40,""
10,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,1350.255,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
11,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1526.695,"_Chun",L,26,85,137,0.949,-0.003,-0.33,1.989,0.254,1.416,-36.663,36.993,86,14,0,0,"",138.995,-172.665,-7.056,0,0,0,"うよすま","Megu3568","Sabo_10","Fresh825","하루（Haru）","濃いめのラー油","Muna_328","schmoneymikey","Dοpi",7,R,"うよすま",175.4,84.991,0.5,,53,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,-37.621,0.07,-18.032,-21.709,-48.008,-16.245,-62.679,18.443,-45.462,10.989,-65.123,38.448,-93.679,0.522,-113.601,-44.943,-89.936,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
12,,1,0,0,0,0,1,0,0,0,0,255,255,255,1,1541.528,"_Chun",L,14,90,112,-2.086,-1.164,-0.44,1.887,-0.211,1.379,-36.663,34.801,94,6,0,2,"",-376.192,329.363,-5.718,0,0,0,"=","=","=","=","=","=","=","=","=",7,R,"うよすま",175.4,84.991,0.5,3,53,W,Y,1,1542.661,255,135,132,119,10,,145,119,-11.756,34.511,-0.385,0.566,-20.438,0.19,0,0.505,1.163,-68.961,-67.278,1542.531,-2.006,-22.798,1543.764,2,-17.756,0.06,-45.828,0,0,,1548.203,,,,,,,,,,,,,1546.395,0,,147,0,,,,,,,,,,,1545.806,2,,,,,,,-0.025,-37.55,-0.174,-17.748,-21.656,-48.189,-16.513,-62.739,18.726,-45.846,11.238,-65.045,38.593,-93.867,0.596,-113.512,-45.262,-90.374,-0.292,-37.178,,"TaeGeuk_",-0.171,-17.902,,"檸檬の残骸",-21.391,-48.235,85,"わかなで",-18.014,-64.346,,"MODECO",18.737,-45.708,,"ke ro",11.225,-65.011,,"「론구」",38.388,-93.638,,"Mr․D VRC",0.594,-113.514,,"ゆっち一",-46.051,-90.626,,1548.3,-0.668,-38.115,,,,1544.015,-19.044,-47.221,,,,,,,,,,,,,,,,,,,,,,,,,1547.257,-17.906,-39.833,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"檸檬の残骸",,,,68,""
13,,1,0,0,0,0,0,1,0,0,0,255,255,255,2,1566.578,"_Chun",L,26,83,134,0.752,0.452,-0.338,2.064,0.213,1.694,-36.663,42.155,82,18,0,0,"",99.6,-200,-7.259,0,0,1,"=","=","=","=","=","=","=","=","=",1,R,"Megu3568",190,88.251,0.405,,80,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,-37.7,0.188,-17.931,-21.732,-48.562,-17.012,-61.317,18.304,-45.965,12.237,-64.836,39.084,-89.714,0.01,-112.996,-48.613,-97.63,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1571.329,-0.002,-37.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
14,,1,0,0,0,0,1,1,0,0,0,255,255,255,3,1582.921,"_Chun",L,26,80,130,0.965,1.024,-0.35,2.185,0.27,2.156,-36.663,55.181,86,14,0,2,"",54.917,-154.124,0.036,0,0,1,"=","=","=","=","=","=","=","=","=",1,R,"Megu3568",190,88.251,0.405,3,80,W,Y,1,1583.979,255,54,155,113,46,,145,101,27.868,21.024,0.106,1.502,-20.467,-0.31,0,0.57,418.459,415.783,102.623,,,,1588.797,8,-37.214,2.665,-94.751,0,0,,1589.888,,,,,,,,,,,,,1588.979,1,,457,0,,,,,,,,,,,,,,,,,,,0.042,-37.594,0.289,-18.016,-21.935,-48.69,-16.993,-62.379,18.653,-46.046,11.956,-65.441,39.076,-89.713,-0.17,-113.591,-47.056,-93.444,-0.565,-36.931,,"TaeGeuk_",0.241,-18.027,,"檸檬の残骸",-22.248,-49.013,,"わかなで",-17.373,-62.286,,"MODECO",18.641,-46.084,,"ke ro",12.284,-66.95,,"「론구」",38.937,-89.514,,"Mr․D VRC",-0.169,-113.604,,"ゆっち一",-47.445,-91.638,96,1594.001,-0.031,-38.156,,,,,,,,,,,,,,,,,,,,,,1588.985,-37.637,-95.308,,,,,,,,,,,,,,,,,,,,,,,,,1590.908,-35.474,-85.728,"",1,,,,,,,,,,,,,0,"ゆっち一",,,,6,""
15,,1,0,0,0,0,0,2,0,0,0,255,255,255,4,1611.076,"_Chun",L,14,83,108,1.859,-0.082,0.08,2.128,1.437,1.92,-36.663,38.6,88,12,0,4,"",-383.336,312.348,-10.889,0,0,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,53,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,-37.862,0.212,-18.16,-19.83,-46.412,-15.326,-62.735,20.625,-46.965,10.817,-65.433,48.093,-102.756,1.874,-112.526,-44.889,-91.993,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1615.84,0.232,-37.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
16,,1,0,0,0,0,1,2,0,0,0,255,255,255,5,1628.091,"_Chun",L,13,86,125,2.25,-0.931,-0.339,1.938,0.425,1.42,-36.663,35.743,86,14,0,4,"",355.922,351.169,-6.744,0,0,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,53,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,-37.486,0.547,-18.107,-19.807,-46.386,-15.202,-62.786,20.917,-46.888,11.539,-64.773,48.114,-102.759,2.147,-114.428,-44.951,-92.095,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1632.89,-0.185,-37.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
17,,1,0,0,0,0,2,2,0,0,0,255,255,255,6,1643.64,"_Chun",L,27,88,140,2.941,0.828,-0.152,2.139,1.21,1.978,-36.663,47.819,86,14,0,1,"",55.892,-133.403,-2.877,0,0,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,53,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,-37.663,0.359,-18.241,-19.763,-46.304,-14.964,-63.12,20.784,-46.694,10.727,-64.989,48.14,-102.755,2.146,-114.396,-45.009,-92.147,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1648.325,0.106,-37.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
18,,1,0,0,0,1,2,2,0,0,0,255,255,255,7,1657.758,"_Chun",L,30,76,114,3.383,0.702,0.002,2.122,1.215,1.873,-36.663,45.318,90,10,0,4,"",145.503,-140.688,-8.096,0,0,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,53,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1660.241,2,,578,0,,,,,,,,,,,,,,,,,,,0.203,-37.548,0.518,-18.202,-21.124,-46.525,-14.509,-62.66,20.921,-46.807,11.009,-65.444,48.11,-102.77,2.11,-114.47,-45.022,-92.133,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1661.934,-0.379,-37.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
19,SIDE,1,0,0,0,0,0,2,0,0,0,255,255,255,,1671.237,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
20,,2,1,0,0,0,0,0,0,0,0,255,255,255,9,1723.913,"하루（Haru）",R,26,76,114,0.523,0.073,0.344,1.761,0.127,1.46,-36.44,21.794,43,57,0,0,"",60.869,-187.333,16.848,0,0,3,"わかなで","ゆっち一","_Chun","MODECO","「론구」","Mr․D VRC","檸檬の残骸","TaeGeuk_","ke ro",4,R,"MODECO",190,85,0.447,,53,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041,-37.015,-0.02,-17.906,-22.244,-45.949,-16.411,-63.025,23.943,-53.352,8.557,-66.055,45.105,-100.943,-4.286,-123.275,-47.646,-95.253,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
21,,2,1,0,0,0,1,0,0,0,0,255,255,255,10,1743.65,"하루（Haru）",R,4,59,109,-0.656,0.133,0.324,1.863,0.096,1.695,-36.44,45.814,52,48,0,0,"",-214.104,0,5.937,0,0,3,"=","=","=","=","=","=","=","=","=",4,R,"MODECO",190,85,0.447,,53,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.153,-37.117,-0.027,-17.893,-22.487,-47.114,-15.929,-63.326,23.903,-53.36,8.463,-66.026,46.961,-101.246,-8.103,-123.426,-49.882,-98.493,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
22,,2,1,0,0,0,2,0,0,0,0,255,255,255,11,1761.406,"하루（Haru）",R,27,85,138,-1.885,0.293,0.109,1.863,-0.905,1.696,-36.44,21.701,88,12,0,2,"",58.979,-102.453,12.118,0,0,3,"=","=","=","=","=","=","=","=","=",4,R,"MODECO",190,85,0.447,3,53,W,Y,1,1762.437,167,149,103,87,47,,145,124,109.32,-42.277,-0.366,1.15,-20.191,0.73,0,0.482,448.141,250.513,-104.043,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.215,-37.1,-0.02,-17.847,-22.497,-46.919,-15.891,-63.306,23.986,-53.267,8.461,-66.009,45.676,-101.988,-7.949,-122.674,-49.871,-98.51,0.137,-36.969,,"Megu3568",-0.174,-18.046,,"濃いめのラー油",-22.434,-46.901,,"Fresh825",-15.895,-63.303,,"Muna_328",23.99,-53.255,,"schmoneymikey",8.423,-65.879,,"Dοpi",45.674,-101.984,,"うよすま",-7.955,-122.676,,"Sabo_10",-49.792,-98.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
23,,2,1,0,0,0,2,0,0,0,0,255,255,255,12,1783.231,"하루（Haru）",R,3,64,110,-0.606,0.082,0.368,1.853,0.303,1.662,-36.44,52.768,69,31,0,2,"",-320.046,0,5.062,0,0,3,"=","=","=","=","=","=","=","=","=",4,R,"MODECO",190,85,0.447,3,53,W,Y,1,1784.37,156,93,64,77,55,,138,130,30.141,9.919,-0.127,1.029,-20.18,0.41,0,0.455,536.381,158.915,-67.371,1790.297,-25.741,-139.481,,,,,,0,0,,1790.321,1795.062,1800.284,1805.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.112,-37.203,-0.029,-17.86,-22.456,-46.808,-15.885,-63.382,23.765,-53.193,7.817,-65.578,42.892,-98.187,-7.789,-124.373,-52.162,-98.92,0.196,-36.925,,"Megu3568",-0.058,-17.933,,"濃いめのラー油",-22.369,-47.04,,"Fresh825",-15.84,-63.263,,"Muna_328",23.748,-53.17,,"schmoneymikey",7.524,-65.641,,"Dοpi",43.278,-96.824,,"うよすま",-7.809,-124.395,,"Sabo_10",-51.954,-98.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,,,,,,,,,,,,,0,"",1795.062,1800.284,,0,""
